No.,Group,a_i,b_i,d_i,Tmin,Tmax
86,C-(C)3(CN),1.51727,3.43998,-0.535832,296,346
87,Cd-(H)(CN),9.51681,-1.13073,0.287598,197,347
88,CB-(CB)2(CN),-1.00435,4.62053,-0.659838,265,480
89,CB-(NCO)-isocyanate,5.35072,2.01231,-0.24614,242,480
90,CB-(CB)2(NO2),35.6551,-14.4426,1.95794,250,415
91,C-(H)2(C)(NO2),17.9408,-5.31396,1.03548,189,300
92,O-(C)(NO2),15.9998,-4.74818,1.0772,181,300
93,C-(H)2(C)(Br),10.3394,-1.28815,0.189034,222,360
94,C-(H)2(C)(C1),8.61093,-1.2447,0.302973,140,520
95,C-(H)2(CB)(C1),18.6499,-7.80896,1.40852,246,347
96,C-(H)2(C)(F),5.64921,-0.221284,0.2844,173,308
97,C-(H)2(C)(I),-0.758309,5.81319,-0.933958,243,345
98,C-(H)(C)2(Br),7.03771,-0.513121,0.114302,190,475
99,C-(H)(C)2(C1),5.14601,0.208322,0.0535852,182,520
100,C-(H)(C)(C1)2,6.99887,2.51247,-0.498986,123,330
101,C-(H)(C)(C1)(F),6.23224,0.236507,0.286196,105,328
102,C-(H)(C)(C1)(O),-5.97673,5.5291,-0.38066,300,335
103,C-(H)(C)(F)2,13.1803,-5.54867,1.34116,163,360
104,C-(C)(Br)(F)2,9.14028,-0.464167,0.297157,166,413
105,C-(C)3(C1),5.32742,-0.615941,0.0961412,186,306
106,C-(C)2(C1)2,7.00761,1.65618,-0.357188,240,267
107,C-(C)(C1)3,10.2604,1.17606,-0.1411,240,310
108,C-(C)(C1)(F)2,9.50984,-1.50626,0.535196,123,420
109,C-(C)(C1)2(F),13.8891,-2.69196,0.554294,105,420
110,C-(C)2(F)2,-1.11436,5.20058,-0.911666,126,380
111,C-(C)(F)3,5.1553,0.810691,0.352253,126,380
112,C-(CB)(F)3,16.2635,-6.37227,1.2597,211,365
113,Cd-(H)(C1),7.45374,-0.909389,0.169918,119,300
114,Cd-(C1)(F),7.99676,-0.931574,0.272285,120,240
115,Cd-(C1)2,10.4158,-2.21528,0.5891,157,291
116,Cd-(F)2,7.46138,-1.8185,0.739347,120,240
117,CB-(CB)2(Br),1.93683,1.96156,-0.1261815,243,369
118,CB(CB)2(C1),7.3956,-1.9517,0.36816,230,437
119,CB-(CB)2(F),1.72466,1.33975,-0.149748,211,490
120,CB-(CB)2(I),2.76962,2.81671,-0.563751,250,320
121,C-(H)3(S),12.5083,-4.37048,-1.11739,167,369
122,C-(H)2(C)(S),9.82604,-3.38011,-1.32166,130,440
123,C-(H)(C)2(S),6.93821,-2.42795,-1.46561,135,490
124,C-(C)3(S),4.52761,-1.85276,-1.56862,172,364
125,CB-(CB)2(S),2.22865,0.466465,-1.96673,239,700
126,S-(H)(C),2.05473,1.18207,1.7399,130,375
127,S-(C)2,-8.98855,6.24228,2.83103,166,700
128,S-(CB)(C),-3.04152,3.49685,3.22118,261,321
129,S-(CB)2-thiophene,5.77842,-1.04458,0.184344,207,344
130,S-(C)(S),-1.5166,2.44892,1.51985,168,352
