No.,Groups,tfp1k,tb1k,tc1k,pc1k,vc1k,w1k,hf1k,gf1k,hv1k,u[liq]1k,CpA1k,CpB1k,CpC1k
12,CH3-CH[m]=CH[n],0.247600,0.066800,0.016700,-0.000180,-0.000980,0.0619,0.474000,0.950000,-0.073000,0.000090,-1.391300,-1.549600,2.589900
13,CH2-CH[m]=CH[n],-0.587000,-0.140600,-0.523100,0.003538,0.002810,-0.0115,1.472000,0.699000,-0.369000,0.000120,0.263000,-2.342800,0.897500
14,CH-CH[m]=CH[n],-0.236100,-0.090000,-0.385000,0.005675,0.008260,0.02778,4.504000,1.013000,0.345000,0.001420,6.514500,-17.554100,10.697700
15,Alicyclic side-chain,-2.829800,0.051100,2.116000,-0.002550,-0.017550,-0.11024,1.252000,1.041000,-0.114000,-0.001070,4.170700,-3.196400,-1.199700
16,CH3CH3,1.488000,0.688400,2.042700,0.005175,0.002270,-0.1124,-2.792000,-1.062000,0.000000,0.000000,0.000000,0.000000,0.000000
17,CHCHO or CCHO,2.054700,-0.107400,-1.582600,0.003659,-0.006640,0,-2.092000,-1.359000,0.207000,-0.000090,0.000000,0.000000,0.000000
18,CH3COCH2,-0.295100,0.022400,0.299600,0.001474,-0.005100,-0.20789,0.975000,0.075000,-0.668000,-0.000300,3.797800,-7.325100,2.531200
19,CH3COCH or CH3COC,-0.298600,0.092000,0.501800,-0.002300,-0.001220,-0.16571,4.753000,0.000000,0.071000,-0.001080,0.000000,0.000000,0.000000
20,C cyclic=O,0.714300,0.558000,2.957100,0.003818,-0.019660,0,14.145000,23.539000,0.744000,-0.001110,0.000000,0.000000,0.000000
21,ACCHO,-0.669700,0.073500,1.169600,-0.002480,0.006640,0,-3.173000,-2.602000,-3.410000,-0.000360,0.000000,0.000000,0.000000
22,CHCOOH or CCOOH,-3.103400,-0.155200,-1.749300,0.004920,0.005590,0.08774,1.279000,2.149000,0.000000,-0.000500,0.000000,0.000000,0.000000
23,ACCOOH,28.432400,0.780100,6.127900,0.000344,-0.004150,0,12.245000,10.715000,8.502000,0.007770,-15.766700,-0.117400,6.119100
24,CH3COOCH or CH3COOC,0.483800,-0.238300,-1.340600,0.000659,-0.002930,-0.26623,-7.807000,-6.208000,-3.345000,0.000830,0.000000,0.000000,0.000000
25,COCH2COO or COCHCOO or COCCOO,0.012700,0.445600,2.541300,0.001067,-0.005910,0,37.462000,29.181000,0.000000,0.000360,0.000000,0.000000,0.000000
26,CO-O-CO,-2.359800,-0.197700,-2.761700,-0.004880,-0.001440,0.91939,-16.097000,-11.809000,1.517000,0.001980,-6.407200,15.258300,-8.314900
27,ACCOO,-2.019800,0.083500,-3.423500,-0.000540,0.026050,0,-9.874000,-7.415000,0.000000,0.000010,0.000000,0.000000,0.000000
28,CHOH,-0.548000,-0.538500,-2.803500,-0.004390,-0.007770,0.03654,-3.887000,-6.770000,-1.398000,-0.000920,2.448400,-0.076500,0.146000
29,COH,0.318900,-0.633100,-3.544200,0.000178,0.015110,0.21106,-24.125000,-20.770000,0.320000,0.001750,-1.525200,-7.638000,8.179500
30,CH[m](OH)CH[n](OH),0.912400,1.410800,5.494100,0.005052,0.003970,0,0.366000,3.805000,-3.661000,0.002350,0.000000,0.000000,0.000000
31,CH[M] cyclic-OH,9.520900,-0.069000,0.323300,0.006917,-0.022970,0,-16.333000,-5.487000,4.626000,-0.002500,0.000000,0.000000,0.000000
32,CH[n](OH)CH[m](NH[p]),2.782600,1.068200,5.486400,0.001408,0.004330,0,-2.992000,-1.600000,0.000000,0.000460,0.000000,0.000000,0.000000
33,CH[m](NH2)CH[n](NH2),2.511400,0.424700,2.069900,0.002148,0.005800,0,2.855000,1.858000,0.000000,0.000000,0.000000,0.000000,0.000000
34,CH[m] cyclic-NH[p]-CH[n] cyclic,1.072900,0.249900,2.134500,-0.005950,-0.013800,-0.13106,0.351000,8.846000,2.311000,-0.001790,0.000000,0.000000,0.000000
35,CH[n]-O-CH[m]=CH[p],0.247600,0.113400,1.015900,-0.000880,0.002970,0,-8.644000,-13.167000,0.000000,-0.002060,0.000000,0.000000,0.000000
36,AC-O-CH[m]=CH[p],0.117500,-0.259600,-5.330700,-0.002250,-0.000450,0,1.532000,-0.654000,0.000000,0.012030,0.000000,0.000000,0.000000
37,CH[m] cyclic-S-CH[n] cyclic,-0.291400,0.440800,4.484700,0.000000,0.000000,-0.01509,-0.329000,-2.091000,0.972000,-0.000230,-2.740700,11.103300,-11.087800
38,CH[n]=CH[m]-F,-0.051400,-0.116800,-0.499600,0.000319,-0.005960,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
39,CH[n]=CH[m]-Br,-1.642500,-0.320100,-1.933400,0.000000,0.005100,0,11.989000,12.373000,0.000000,0.000000,-1.697800,1.047700,0.200200
40,CH[n]=CH[m]-I,0.000000,-0.445300,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
41,ACBr,2.583200,-0.677600,-2.297400,0.009027,-0.008320,-0.03078,12.285000,14.161000,-7.488000,0.001780,-2.292300,3.114200,-1.499500
42,ACI,-1.551100,-0.367800,2.890700,0.008247,-0.003410,0.00001,11.207000,12.530000,-4.864000,0.001710,-0.316200,2.371100,-1.482500
43,CH[m](NH2)-COOH,0.000000,0.000000,0.000000,0.000000,0.000000,0,11.740000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.058400
